case_id,source_group_id,source_rows,split_group,query,provenance,generation_method,relationship,reviewer_id,review_round,intents,scope,goal,output,audience,metric,subject_selection,requested_effect,capability_id,decision,missing_context,labels_complete,reviewer_notes
base_39,source_row_39,39,source_row_39,Draft a client note on interest rates and cash yields.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_40,source_row_40,40,source_row_40,Prepare talking points for a structured-note reinvestment proposal.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_41,source_row_41,41,source_row_41,Compare SMA versus ETF approaches in client-friendly language.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_42,source_row_42,42,source_row_42,Explain international exposure versus CIO guidance and draft talking points.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_43,source_row_43,43,source_row_43,The manager says the fund is up but account reports are down. Reconcile the returns.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_44,source_row_44,44,source_row_44,Explain differences in the mechanics and performance reporting of a strategy.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_45,source_row_45,45,source_row_45,Find research on software industry risks and the best way to connect to a specialist.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_46,source_row_46,46,source_row_46,Reconcile the distributable amount with a payment and check withholding and W8BEN status.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_47,source_row_47,47,source_row_47,What approved large cap growth funds are available?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_48,source_row_48,48,source_row_48,What approved ways provide small cap exposure?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_49,source_row_49,49,source_row_49,Compare SMA versus ETF versus mutual fund options that fit this client.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_50,source_row_50,50,source_row_50,Which approved strategies fit an income objective?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_51,source_row_51,51,source_row_51,What investment options balance yield and liquidity for this client?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_52,source_row_52,52,source_row_52,"Design tiered liquidity using short, medium and longer investment horizons.",rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_53,source_row_53,53,source_row_53,Compare direct indexing versus ETF investing for tax efficiency.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_54,source_row_54,54,source_row_54,Find approved products for tax-efficient small company exposure.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_55,source_row_55,55,source_row_55,Which approved alternatives options are available on the platform?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_56,source_row_56,56,source_row_56,Find CIO-aligned hedging approaches for concentrated positions.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_57,source_row_57,57,source_row_57,Build a proposal using the current CIO model allocation.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_58,source_row_58,58,source_row_58,List products that fit this objective and include eligibility constraints.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_59,source_row_59,59,source_row_59,Recommend an investment proposal to reduce volatility while maintaining income.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_60,source_row_60,60,source_row_60,Which approved strategies diversify equity exposure across regions?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_61,source_row_61,61,source_row_61,A manager is on hold. Find approved alternatives.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_62,source_row_62,62,source_row_62,Help identify the best solution for this client's objectives.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_63,source_row_63,63,source_row_63,Which strategies are available on the platform for an income objective?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_64,source_row_64,64,source_row_64,Compare a structured note versus an SMA.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_65,source_row_65,65,source_row_65,Which clients qualify for alts but do not currently use them?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_66,source_row_66,66,source_row_66,Explain the main performance drivers in this portfolio.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_67,source_row_67,67,source_row_67,Which sector allocations contributed to YTD performance?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_68,source_row_68,68,source_row_68,Explain portfolio underperformance with CIO guidance and benchmark data.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_69,source_row_69,69,source_row_69,Show allocation drift and a proposal to rebalance toward CIO targets.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_70,source_row_70,70,source_row_70,Calculate rate sensitivity and duration exposure for this client.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_71,source_row_71,71,source_row_71,Explain concentration risk using CIO guidance.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_72,source_row_72,72,source_row_72,Find portfolios out of alignment with tactical ranges and prioritize outreach.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_73,source_row_73,73,source_row_73,Explain a performance outlier in an account group.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_74,source_row_74,74,source_row_74,What reallocations would reduce risk while preserving the intended allocation?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_75,source_row_75,75,source_row_75,Which clients are exposed to interest rates moving higher?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_76,source_row_76,76,source_row_76,Who is affected by today's technology selloff?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_77,source_row_77,77,source_row_77,How did analyst estimate revisions change over the last quarter?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_78,source_row_78,78,source_row_78,Summarize the latest earnings call and major risks.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_79,source_row_79,79,source_row_79,When is the next earnings date and what is consensus expecting?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_80,source_row_80,80,source_row_80,Explain the recent credit spread movement for this bond issuer.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_81,source_row_81,81,source_row_81,Did a ratings agency change the outlook for this issuer?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_82,source_row_82,82,source_row_82,How has short interest changed for this company?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_83,source_row_83,83,source_row_83,What news drivers affect this security today?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_84,source_row_84,84,source_row_84,Compare practice sales volume with the firm total and show where we rank over twelve months.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_85,source_row_85,85,source_row_85,Run a correlation analysis of a strategy against broad market benchmarks.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_86,source_row_86,86,source_row_86,Find the best holdings overlap for a tax-aware transition into an SMA.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_87,source_row_87,87,source_row_87,Prepare an annual review of manager performance and current CIO guidance.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_88,source_row_88,88,source_row_88,"Build an investment proposal around tax management, lower volatility and income.",rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_89,source_row_89,89,source_row_89,Plan a transition from taxable bonds to munis without selling stocks and realizing gains.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_90,source_row_90,90,source_row_90,Build a tax-aware diversification proposal for concentrated stock with unrealized gains.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_91,source_row_91,91,source_row_91,Run overlap analysis against two strategies and estimate the transition tax impact.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_92,source_row_92,92,source_row_92,Prepare a direct-indexing proposal for appreciated stock and future tax-loss harvesting.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_93,source_row_93,93,source_row_93,Transition a self-directed account into a managed strategy and evaluate holdings overlap.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_94,source_row_94,94,source_row_94,Find a transition path for an appreciated account below the strategy minimum.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_95,source_row_95,95,source_row_95,Compare laddered versus actively managed municipal bonds on cost and performance.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_96,source_row_96,96,source_row_96,Find back-tested and full-cycle performance for a tax-aware model.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_97,source_row_97,97,source_row_97,Measure overlap and international exposure across two blended equity strategies.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_98,source_row_98,98,source_row_98,Suggest a proposal with less technology concentration and similar tax-management objectives.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_99,source_row_99,99,source_row_99,Compile alternative-fund performance and correlation over several horizons.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_100,source_row_100,100,source_row_100,Provide a private fund's top ten holdings and weights.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_101,source_row_101,101,source_row_101,Which clients are impacted by the CIO update and what next-best-actions should be considered?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_102,source_row_102,102,source_row_102,Notify me when portfolios drift beyond CIO targets and draft a client explanation.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_103,source_row_103,103,source_row_103,Show clients with high cash balances and draft outreach talking points.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_104,source_row_104,104,source_row_104,Alert me to concentration risk above a threshold.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_105,source_row_105,105,source_row_105,"Which clients qualify for alts but do not use them, and what proposal fits their objectives?",rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_106,source_row_106,106,source_row_106,Proactively flag rising portfolio volatility and prepare a risk-mitigation proposal.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_107,source_row_107,107,source_row_107,Surface next-best-actions across my book with CIO citations.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_108,source_row_108,108,source_row_108,Alert me when a ratings agency changes an issuer outlook.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_109,source_row_109,109,source_row_109,Notify me when changes in CIO guidance are material for clients.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_110,source_row_110,110,source_row_110,Create a daily market brief showing client exposure to market events.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_111,source_row_111,111,source_row_111,Alert me if a closed-end fund discount widens beyond my threshold.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_112,source_row_112,112,source_row_112,Notify me when the manager fee changes for a strategy.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_113,source_row_113,113,source_row_113,Alert me when a fund research rating changes.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_114,source_row_114,114,source_row_114,Flag major estimate revisions for top holdings.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_115,source_row_115,115,source_row_115,Calculate the maturity proceeds and return for a note maturing after its calculation date.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_116,source_row_116,116,source_row_116,Retrieve the maturity terms for two structured notes.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_117,source_row_117,117,source_row_117,Duplicate ticker symbols in the product archive are distorting percentages.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_118,source_row_118,118,source_row_118,Summarize the decision trade-offs to discuss with a client.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_119,source_row_119,119,source_row_119,"List key risks, benefits and required disclosures for a proposal.",rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_120,source_row_120,120,source_row_120,Which approvals should I confirm before presenting this recommendation?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_121,source_row_121,121,source_row_121,What disclosures should accompany this recommendation?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_122,source_row_122,122,source_row_122,Create a decision summary for documentation after the meeting.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_123,source_row_123,123,source_row_123,Generate follow-up tasks and a checklist of next steps.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_124,source_row_124,124,source_row_124,Draft a post-meeting recap and next steps note.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_125,source_row_125,125,source_row_125,What questions is the client likely to ask about this proposal?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_126,source_row_126,126,source_row_126,Which assumptions affect the recommendation most?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_127,source_row_127,127,source_row_127,Draft a compliance-friendly rationale for client notes.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_128,source_row_128,128,source_row_128,What portfolio proposal makes sense given current CIO guidance and client objectives?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_129,source_row_129,129,source_row_129,Identify concentration risks across my book and prepare a mitigation proposal.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_130,source_row_130,130,source_row_130,Generate a meeting book with standard sections and custom content.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_131,source_row_131,131,source_row_131,Can the prospect assets transfer and what target portfolio should we propose?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_132,source_row_132,132,source_row_132,What changed since the last review?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_133,source_row_133,133,source_row_133,"Before the meeting, review the client's concentration in market-linked investments.",rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_134,source_row_134,134,source_row_134,Analyze concentration across several accounts using a statement.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_135,source_row_135,135,source_row_135,Find downside protection strategies for a concentrated position.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_136,source_row_136,136,source_row_136,"Explain STARS notes, their mechanics and applicable investor characteristics.",rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_137,source_row_137,137,source_row_137,Prepare a transition proposal for company shares after a lockup expires.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_138,source_row_138,138,source_row_138,A commercial property sale needs tax planning and consideration of a DST.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_139,source_row_139,139,source_row_139,Find approved platform options for investing in a private company.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_140,source_row_140,140,source_row_140,Which approaches address passive income needs and passive real estate losses?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_141,source_row_141,141,source_row_141,Find a specialist for family office and philanthropic services.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_142,source_row_142,142,source_row_142,"Compare incentive fees, share classes and subscription windows for private funds.",rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_143,source_row_143,143,source_row_143,Find a product representative for a direct-indexing strategy.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_144,source_row_144,144,source_row_144,Could dividend reinvestment in another account create a wash sale?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_145,source_row_145,145,source_row_145,Explain how to enroll clients in an approved MLP strategy.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_146,source_row_146,146,source_row_146,Can we enroll in a tax overlay before the cash arrives?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_147,source_row_147,147,source_row_147,"During enrollment, what goes in the manager fee rate field versus the total client rate?",rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_148,source_row_148,148,source_row_148,What are the steps to enroll in a PAS account?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_149,source_row_149,149,source_row_149,Put me in contact with a wholesaler for a private fund.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_150,source_row_150,150,source_row_150,Can these alternative-fund positions transfer in kind from a contra firm?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_151,source_row_151,151,source_row_151,Diagnose a submitted order with a grayed out submit button and an expired profile.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_152,source_row_152,152,source_row_152,Review entity eligibility for requests to invest through a US corporation.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_153,source_row_153,153,source_row_153,Will an approver's sabbatical affect an order already submitted?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_154,source_row_154,154,source_row_154,Prepare a tax-aware diversification proposal for concentrated stock holdings with capital gains.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
g01_1,source_rows_114,114,source_rows_114,Flag major estimate revisions for top holdings across my prioritized clients.,synthetic_probe,meaning_variation_probe,preserve_meaning,,,,,,,,,,,,,,False,
g01_2,source_rows_114,114,source_rows_114,"Flag major estimate revisions for top holdings across John Example, Smith Example and Rita Example's accounts.",synthetic_probe,meaning_variation_probe,preserve_meaning,,,,,,,,,,,,,,False,
g01_3,source_rows_114,114,source_rows_114,Flag major estimate revisions for top holdings across the selected clients.,synthetic_probe,meaning_variation_probe,preserve_meaning,,,,,,,,,,,,,,False,
g01_4,source_rows_114,114,source_rows_114,Flag major estimate revisions for top holdings across these three clients.,synthetic_probe,meaning_variation_probe,preserve_meaning,,,,,,,,,,,,,,False,
g02_1,source_rows_25,25,source_rows_25,Draft an email explaining recent market volatility to this client.,synthetic_probe,meaning_variation_probe,preserve_meaning,,,,,,,,,,,,,,False,
g02_2,source_rows_25,25,source_rows_25,Draft an email explaining recent market volatility to the selected client.,synthetic_probe,meaning_variation_probe,preserve_meaning,,,,,,,,,,,,,,False,
g02_3,source_rows_25,25,source_rows_25,Draft an email explaining recent market volatility to client Avery Example.,synthetic_probe,meaning_variation_probe,preserve_meaning,,,,,,,,,,,,,,False,
g02_4,source_rows_25,25,source_rows_25,Draft an email explaining recent market volatility to this customer.,synthetic_probe,meaning_variation_probe,preserve_meaning,,,,,,,,,,,,,,False,
g03_1,source_rows_134,134,source_rows_134,Show concentration for this household.,synthetic_probe,meaning_variation_probe,preserve_meaning,,,,,,,,,,,,,,False,
